Metric,overall,sex_priv,sex_dis,race_priv,race_dis,sex&race_priv,sex&race_dis,Model_Seed,Model_Name,Run_Number
General_Ensemble_Accuracy,0.6732954545454546,0.6875,0.6698113207547169,0.6768149882903981,0.670906200317965,0.7263157894736842,0.6744186046511628,103,RandomForestClassifier,Run_1
Mean,0.5296912231749665,0.5735574635324147,0.5189315793137057,0.5820430531139709,0.49415190459952174,0.6045356202036032,0.4824660455381768,103,RandomForestClassifier,Run_1
Std,0.03872877107139207,0.03877375068734626,0.03871773833540331,0.03908011299571153,0.03849026073485088,0.040566005373583444,0.03875814800337909,103,RandomForestClassifier,Run_1
IQR,0.04859553573201894,0.04765788739471648,0.04882552494682898,0.049010894076437786,0.048313567507747325,0.05094715465576357,0.04906273852048367,103,RandomForestClassifier,Run_1
Entropy,0.0,0.0,0.0,0.0,0.0,0.07765477324863237,0.0,103,RandomForestClassifier,Run_1
Jitter,0.05751262626262627,0.0685897435897436,0.054795597484276724,0.05162633359354671,0.061508567390920324,0.057076023391812857,0.057838070628768334,103,RandomForestClassifier,Run_1
Per_Sample_Accuracy,0.6728219696969697,0.6932692307692307,0.6678066037735848,0.6697892271662763,0.6748807631160573,0.7136842105263156,0.6746124031007752,103,RandomForestClassifier,Run_1
Label_Stability,0.928219696969697,0.9134615384615384,0.9318396226415094,0.9381733021077284,0.921462639109698,0.9284210526315789,0.925968992248062,103,RandomForestClassifier,Run_1
TPR,0.591254752851711,0.5,0.6066666666666667,0.4887640449438202,0.6436781609195402,0.47058823529411764,0.6601307189542484,103,RandomForestClassifier,Run_1
TNR,0.7547169811320755,0.7954545454545454,0.7412060301507538,0.8112449799196787,0.7046263345195729,0.8688524590163934,0.6952380952380952,103,RandomForestClassifier,Run_1
PPV,0.7052154195011338,0.5846153846153846,0.726063829787234,0.6492537313432836,0.7296416938110749,0.6666666666666666,0.7593984962406015,103,RandomForestClassifier,Run_1
FNR,0.40874524714828897,0.5,0.3933333333333333,0.5112359550561798,0.3563218390804598,0.5294117647058824,0.33986928104575165,103,RandomForestClassifier,Run_1
FPR,0.24528301886792453,0.20454545454545456,0.25879396984924624,0.18875502008032127,0.29537366548042704,0.13114754098360656,0.3047619047619048,103,RandomForestClassifier,Run_1
Accuracy,0.6732954545454546,0.6875,0.6698113207547169,0.6768149882903981,0.670906200317965,0.7263157894736842,0.6744186046511628,103,RandomForestClassifier,Run_1
F1,0.6432264736297828,0.5390070921985816,0.6610169491525424,0.5576923076923077,0.683969465648855,0.5517241379310345,0.7062937062937062,103,RandomForestClassifier,Run_1
Selection-Rate,0.41761363636363635,0.3125,0.44339622641509435,0.31381733021077285,0.48807631160572335,0.25263157894736843,0.5155038759689923,103,RandomForestClassifier,Run_1
Positive-Rate,0.8384030418250951,0.8552631578947368,0.8355555555555556,0.7528089887640449,0.882183908045977,0.7058823529411765,0.869281045751634,103,RandomForestClassifier,Run_1
General_Ensemble_Accuracy,0.6751893939393939,0.7081081081081081,0.6681974741676234,0.6596244131455399,0.6857142857142857,0.7021276595744681,0.6808905380333952,203,RandomForestClassifier,Run_2
Mean,0.5219840291536408,0.5775472256655002,0.5101824317314892,0.5864615920421901,0.47838491520043136,0.6000141905512684,0.46556139840440336,203,RandomForestClassifier,Run_2
Std,0.03475170958643004,0.03233111848084051,0.035265842025619554,0.03272137766328637,0.036124600696365285,0.031561657051670695,0.03663086694362092,203,RandomForestClassifier,Run_2
IQR,0.04292177850240008,0.039347876316660486,0.04368087368536429,0.04070601508543203,0.04442005662244514,0.03799032680826731,0.045039646147561,203,RandomForestClassifier,Run_2
Entropy,0.0,0.09016435322500668,0.0,0.0,0.0,0.10181477156831074,0.0,203,RandomForestClassifier,Run_2
Jitter,0.0792929292929293,0.06546546546546547,0.082229876259727,0.07861241523213354,0.07975308641975308,0.07234042553191489,0.08336425479282619,203,RandomForestClassifier,Run_2
Per_Sample_Accuracy,0.6710227272727273,0.7032432432432432,0.664179104477612,0.6640845070422534,0.6757142857142857,0.704255319148936,0.6712430426716142,203,RandomForestClassifier,Run_2
Label_Stability,0.8984848484848484,0.9167567567567567,0.8946039035591274,0.903755868544601,0.8949206349206349,0.9148936170212766,0.8909090909090909,203,RandomForestClassifier,Run_2
TPR,0.6314741035856574,0.4909090909090909,0.6487695749440716,0.45,0.716374269005848,0.44,0.7339743589743589,203,RandomForestClassifier,Run_2
TNR,0.7148014440433214,0.8,0.6886792452830188,0.7857142857142857,0.6493055555555556,0.7971014492753623,0.6079295154185022,203,RandomForestClassifier,Run_2
PPV,0.6673684210526316,0.5094339622641509,0.6872037914691943,0.5581395348837209,0.708092485549133,0.44,0.720125786163522,203,RandomForestClassifier,Run_2
FNR,0.36852589641434264,0.509090909090909,0.3512304250559284,0.55,0.28362573099415206,0.56,0.266025641025641,203,RandomForestClassifier,Run_2
FPR,0.2851985559566787,0.2,0.3113207547169811,0.21428571428571427,0.3506944444444444,0.2028985507246377,0.3920704845814978,203,RandomForestClassifier,Run_2
Accuracy,0.6751893939393939,0.7081081081081081,0.6681974741676234,0.6596244131455399,0.6857142857142857,0.7021276595744681,0.6808905380333952,203,RandomForestClassifier,Run_2
F1,0.6489252814738997,0.5,0.667433831990794,0.4982698961937716,0.7122093023255814,0.44,0.726984126984127,203,RandomForestClassifier,Run_2
Selection-Rate,0.4498106060606061,0.2864864864864865,0.4845005740528129,0.3028169014084507,0.5492063492063493,0.26595744680851063,0.5899814471243042,203,RandomForestClassifier,Run_2
