Metric,overall,sex_race_priv,sex_race_dis,sex_priv,sex_dis,race_priv,race_dis,Model_Seed,Model_Name,Run_Number
General_Ensemble_Accuracy,0.6543560606060606,0.5733333333333334,0.6691588785046729,0.6353591160220995,0.6582857142857143,0.6289156626506024,0.6708268330733229,106,MLPClassifier,Run_1
Mean,0.5228300712320797,0.6277116558669324,0.46343800280824154,0.583857173236856,0.5102061792745202,0.5917336133802792,0.47822013364783195,106,MLPClassifier,Run_1
Std,0.024364003971795598,0.02369620419187412,0.025741839645824927,0.02355422079568195,0.024531513405940245,0.02282025381704082,0.025363467800536988,106,MLPClassifier,Run_1
IQR,0.028845000035239994,0.027402829160903135,0.030439445076260046,0.027657249255678366,0.029090694767926462,0.027046908417359676,0.030009131113898864,106,MLPClassifier,Run_1
Entropy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106,MLPClassifier,Run_1
Jitter,0.06624579124579125,0.0794074074074074,0.06101765316718587,0.07047268262737877,0.06537142857142857,0.073520749665328,0.061535794765123934,106,MLPClassifier,Run_1
Per_Sample_Accuracy,0.6647727272727273,0.608,0.6790654205607477,0.6541436464088398,0.6669714285714284,0.640722891566265,0.6803432137285492,106,MLPClassifier,Run_1
Label_Stability,0.8928030303030302,0.8773333333333335,0.9016822429906541,0.8850828729281768,0.8944,0.8819277108433735,0.8998439937597503,106,MLPClassifier,Run_1
TPR,0.598343685300207,0.16666666666666666,0.7152317880794702,0.39285714285714285,0.6252927400468384,0.3691275167785235,0.7005988023952096,106,MLPClassifier,Run_1
TNR,0.7015706806282722,0.7647058823529411,0.6094420600858369,0.744,0.6897321428571429,0.7744360902255639,0.6384364820846905,106,MLPClassifier,Run_1
PPV,0.6282608695652174,0.25,0.7035830618892508,0.4074074074074074,0.6576354679802956,0.4782608695652174,0.6782608695652174,106,MLPClassifier,Run_1
FNR,0.40165631469979296,0.8333333333333334,0.2847682119205298,0.6071428571428571,0.3747072599531616,0.6308724832214765,0.2994011976047904,106,MLPClassifier,Run_1
FPR,0.29842931937172773,0.23529411764705882,0.3905579399141631,0.256,0.31026785714285715,0.22556390977443608,0.36156351791530944,106,MLPClassifier,Run_1
Accuracy,0.6543560606060606,0.5733333333333334,0.6691588785046729,0.6353591160220995,0.6582857142857143,0.6289156626506024,0.6708268330733229,106,MLPClassifier,Run_1
F1,0.6129374337221634,0.2,0.7093596059113301,0.4,0.6410564225690276,0.4166666666666667,0.6892488954344624,106,MLPClassifier,Run_1
Selection-Rate,0.4356060606060606,0.21333333333333335,0.5738317757009346,0.2983425414364641,0.464,0.27710843373493976,0.5382215288611545,106,MLPClassifier,Run_1
Positive-Rate,0.9523809523809523,0.6666666666666666,1.0165562913907285,0.9642857142857143,0.9508196721311475,0.7718120805369127,1.032934131736527,106,MLPClassifier,Run_1
General_Ensemble_Accuracy,0.6590909090909091,0.6483516483516484,0.6497175141242938,0.6442307692307693,0.6627358490566038,0.6764705882352942,0.6481481481481481,206,MLPClassifier,Run_2
Mean,0.5312184927551273,0.6140111125373771,0.47971786950570283,0.5731040335799251,0.5209446808547052,0.5953576272013803,0.49083459328896806,206,MLPClassifier,Run_2
Std,0.021962816684481145,0.02034676220700522,0.023048419911432225,0.02071440250696932,0.022269031482738767,0.020825938934385876,0.022678628601207798,206,MLPClassifier,Run_2
IQR,0.025887791352332424,0.024773435595966866,0.027098245529726936,0.02439709905174434,0.02625343286002384,0.024823836588843625,0.026557688796010556,206,MLPClassifier,Run_2
Entropy,0.0,0.0,0.0796174001035681,0.0,0.0,0.0,0.0,206,MLPClassifier,Run_2
Jitter,0.055092592592592596,0.04224664224664223,0.05867336262816489,0.06228632478632479,0.05332809224318658,0.04389978213507625,0.06213991769547324,206,MLPClassifier,Run_2
Per_Sample_Accuracy,0.6583333333333332,0.6472527472527473,0.6493408662900187,0.64375,0.6619103773584906,0.6749999999999999,0.6478395061728396,206,MLPClassifier,Run_2
Label_Stability,0.9310606060606061,0.945054945054945,0.9261770244821093,0.9221153846153847,0.9332547169811322,0.9450980392156864,0.922222222222222,206,MLPClassifier,Run_2
TPR,0.5898989898989899,0.34375,0.6794425087108014,0.4520547945205479,0.6137440758293838,0.4491017964071856,0.6615853658536586,206,MLPClassifier,Run_2
TNR,0.7201426024955436,0.8135593220338984,0.6147540983606558,0.7481481481481481,0.7112676056338029,0.8340248962655602,0.634375,206,MLPClassifier,Run_2
PPV,0.6503340757238307,0.5,0.6747404844290658,0.4925373134328358,0.6780104712041884,0.6521739130434783,0.6497005988023952,206,MLPClassifier,Run_2
FNR,0.4101010101010101,0.65625,0.3205574912891986,0.547945205479452,0.3862559241706161,0.5508982035928144,0.3384146341463415,206,MLPClassifier,Run_2
FPR,0.2798573975044563,0.1864406779661017,0.38524590163934425,0.2518518518518518,0.2887323943661972,0.16597510373443983,0.365625,206,MLPClassifier,Run_2
Accuracy,0.6590909090909091,0.6483516483516484,0.6497175141242938,0.6442307692307693,0.6627358490566038,0.6764705882352942,0.6481481481481481,206,MLPClassifier,Run_2
F1,0.6186440677966102,0.4074074074074074,0.6770833333333334,0.4714285714285714,0.6442786069651741,0.5319148936170213,0.6555891238670695,206,MLPClassifier,Run_2
Selection-Rate,0.4251893939393939,0.24175824175824176,0.544256120527307,0.32211538461538464,0.45047169811320753,0.2818627450980392,0.5154320987654321,206,MLPClassifier,Run_2
Positive-Rate,0.907070707070707,0.6875,1.0069686411149825,0.9178082191780822,0.9052132701421801,0.688622754491018,1.0182926829268293,206,MLPClassifier,Run_2
