Metric,overall,sex_race_priv,sex_race_dis,sex_priv,sex_dis,race_priv,race_dis,Model_Seed,Model_Name,Run_Number
General_Ensemble_Accuracy,0.6808712121212122,0.6477272727272727,0.6795366795366795,0.6834170854271356,0.6802800466744457,0.6744730679156908,0.685214626391097,101,DecisionTreeClassifier,Run_1
Mean,0.5245839600063761,0.5894485870951454,0.4686405119227041,0.560903626638222,0.5161503384664258,0.5888911722579369,0.48092866647471244,101,DecisionTreeClassifier,Run_1
Std,0.07425157883930626,0.09143737176380831,0.07571981260112082,0.08064846636587712,0.07276618721995083,0.07303102631225389,0.07508015742285375,101,DecisionTreeClassifier,Run_1
IQR,0.0893819731315773,0.11425312384045867,0.08984247515727348,0.09607407119170916,0.08782803204176838,0.0908302019351012,0.08839883529516282,101,DecisionTreeClassifier,Run_1
Entropy,0.0,0.24397347009828171,0.22814864502556817,0.2466778336596246,0.0,0.0,0.23179685477402354,101,DecisionTreeClassifier,Run_1
Jitter,0.13804388582797708,0.15810606060606064,0.1448219648219645,0.15915131211613678,0.13314262814846228,0.12411894116812185,0.14749690867337953,101,DecisionTreeClassifier,Run_1
Per_Sample_Accuracy,0.6582102272727273,0.6430681818181818,0.6487644787644787,0.6736683417085426,0.6546207701283547,0.6593442622950819,0.6574403815580285,101,DecisionTreeClassifier,Run_1
Label_Stability,0.8079734848484849,0.7702272727272728,0.8021621621621621,0.7734673366834172,0.8159859976662777,0.8233255269320845,0.7975516693163752,101,DecisionTreeClassifier,Run_1
TPR,0.6324435318275154,0.44,0.7173144876325088,0.5571428571428572,0.645083932853717,0.48427672955974843,0.7042682926829268,101,DecisionTreeClassifier,Run_1
TNR,0.7223198594024605,0.7301587301587301,0.6340425531914894,0.751937984496124,0.7136363636363636,0.7873134328358209,0.6644518272425249,101,DecisionTreeClassifier,Run_1
PPV,0.6609442060085837,0.39285714285714285,0.7024221453287197,0.5492957746478874,0.6810126582278481,0.5746268656716418,0.6957831325301205,101,DecisionTreeClassifier,Run_1
FNR,0.3675564681724846,0.56,0.2826855123674912,0.44285714285714284,0.354916067146283,0.5157232704402516,0.29573170731707316,101,DecisionTreeClassifier,Run_1
FPR,0.27768014059753954,0.2698412698412698,0.3659574468085106,0.24806201550387597,0.2863636363636364,0.2126865671641791,0.33554817275747506,101,DecisionTreeClassifier,Run_1
Accuracy,0.6808712121212122,0.6477272727272727,0.6795366795366795,0.6834170854271356,0.6802800466744457,0.6744730679156908,0.685214626391097,101,DecisionTreeClassifier,Run_1
F1,0.646379853095488,0.41509433962264153,0.7097902097902098,0.5531914893617021,0.6625615763546798,0.5255972696245734,0.7,101,DecisionTreeClassifier,Run_1
Selection-Rate,0.4412878787878788,0.3181818181818182,0.5579150579150579,0.35678391959798994,0.46091015169194866,0.31381733021077285,0.5278219395866455,101,DecisionTreeClassifier,Run_1
Positive-Rate,0.9568788501026694,1.12,1.0212014134275618,1.0142857142857142,0.947242206235012,0.8427672955974843,1.0121951219512195,101,DecisionTreeClassifier,Run_1
General_Ensemble_Accuracy,0.6751893939393939,0.7011494252873564,0.6816479400749064,0.69,0.6717289719626168,0.6650366748166259,0.6816074188562596,201,DecisionTreeClassifier,Run_2
Mean,0.5235859483165076,0.6029631674669647,0.47372678614628394,0.558252295963351,0.5154863343803293,0.5886161222422303,0.4824772294051931,201,DecisionTreeClassifier,Run_2
Std,0.07442854208365222,0.08544781291636337,0.0760753268885072,0.07904220713491662,0.07335058295952503,0.07236634273499802,0.0757321580552126,201,DecisionTreeClassifier,Run_2
IQR,0.08626832485229577,0.09515570167126403,0.08753545609649051,0.09175492039155377,0.08498641000667476,0.08382146566158342,0.08781510291875845,201,DecisionTreeClassifier,Run_2
Entropy,0.0,0.0,0.0,0.18697630102332383,0.0,0.0,0.0,201,DecisionTreeClassifier,Run_2
Jitter,0.10293522344658715,0.11419714385231546,0.10885900200507166,0.1139737373737376,0.10035613140753324,0.09219876021832085,0.10972226125240059,201,DecisionTreeClassifier,Run_2
Per_Sample_Accuracy,0.6655397727272727,0.6851724137931035,0.6680337078651686,0.6723,0.6639602803738318,0.6631540342298289,0.667047913446677,201,DecisionTreeClassifier,Run_2
Label_Stability,0.8726325757575758,0.8475862068965515,0.8664794007490637,0.8508,0.8777336448598131,0.8860146699266503,0.864173106646059,201,DecisionTreeClassifier,Run_2
TPR,0.6442105263157895,0.53125,0.7279151943462897,0.6233766233766234,0.6482412060301508,0.46938775510204084,0.7225609756097561,201,DecisionTreeClassifier,Run_2
TNR,0.7005163511187608,0.8,0.6294820717131474,0.7317073170731707,0.6921397379912664,0.7748091603053435,0.6394984326018809,201,DecisionTreeClassifier,Run_2
PPV,0.6375,0.6071428571428571,0.6889632107023411,0.5925925925925926,0.6466165413533834,0.5390625,0.6732954545454546,201,DecisionTreeClassifier,Run_2
FNR,0.35578947368421054,0.46875,0.27208480565371024,0.37662337662337664,0.35175879396984927,0.5306122448979592,0.2774390243902439,201,DecisionTreeClassifier,Run_2
FPR,0.29948364888123924,0.2,0.3705179282868526,0.2682926829268293,0.3078602620087336,0.22519083969465647,0.3605015673981191,201,DecisionTreeClassifier,Run_2
Accuracy,0.6751893939393939,0.7011494252873564,0.6816479400749064,0.69,0.6717289719626168,0.6650366748166259,0.6816074188562596,201,DecisionTreeClassifier,Run_2
F1,0.6408376963350786,0.5666666666666667,0.7079037800687286,0.6075949367088608,0.6474278544542033,0.5018181818181818,0.6970588235294117,201,DecisionTreeClassifier,Run_2
Selection-Rate,0.45454545454545453,0.3218390804597701,0.5599250936329588,0.405,0.4661214953271028,0.31295843520782396,0.5440494590417311,201,DecisionTreeClassifier,Run_2
Positive-Rate,1.0105263157894737,0.875,1.0565371024734982,1.051948051948052,1.0025125628140703,0.8707482993197279,1.0731707317073171,201,DecisionTreeClassifier,Run_2
