index,overall,SEX_RAC1P_priv,SEX_RAC1P_dis,SEX_priv,SEX_dis,RAC1P_priv,RAC1P_dis
General_Ensemble_Accuracy,0.8223,0.8523,0.799,0.8544,0.7913,0.8197,0.8271
Mean,0.5536,0.5014,0.5749,0.5233,0.5827,0.5442,0.5714
Std,0.0518,0.0497,0.0577,0.0508,0.0528,0.0499,0.0555
IQR,0.0542,0.051,0.0607,0.0525,0.0559,0.0521,0.0582
Entropy,0.0,0.0,0.094,0.0,0.0822,0.0612,0.0
Jitter,0.0477,0.033,0.0689,0.0348,0.0602,0.0442,0.0544
Per_Sample_Accuracy,0.8171,0.8495,0.7921,0.8512,0.7843,0.8147,0.8217
Label_Stability,0.9389,0.9589,0.909,0.9569,0.9216,0.9438,0.9297
