index,overall,SEX_RAC1P_priv,SEX_RAC1P_dis,SEX_priv,SEX_dis,RAC1P_priv,RAC1P_dis
General_Ensemble_Accuracy,0.8219,0.8523,0.8004,0.8547,0.7904,0.8186,0.8283
Mean,0.5531,0.5003,0.5737,0.5228,0.5824,0.5437,0.571
Std,0.0509,0.0473,0.0585,0.0482,0.0534,0.049,0.0545
IQR,0.052,0.047,0.0605,0.0484,0.0555,0.0499,0.056
Entropy,0.0,0.0,0.0868,0.0,0.0777,0.0627,0.0
Jitter,0.0468,0.0378,0.063,0.0368,0.0565,0.0453,0.0496
Per_Sample_Accuracy,0.8174,0.8492,0.793,0.8514,0.7845,0.8145,0.8227
Label_Stability,0.94,0.9522,0.9181,0.954,0.9265,0.9417,0.9368
