index,overall,SEX_RAC1P_priv,SEX_RAC1P_dis,SEX_priv,SEX_dis,RAC1P_priv,RAC1P_dis
General_Ensemble_Accuracy,0.8216,0.8528,0.7966,0.8549,0.7896,0.8192,0.8261
Mean,0.5538,0.5001,0.5769,0.5223,0.5841,0.5442,0.5722
Std,0.0486,0.0469,0.0563,0.0463,0.0508,0.0473,0.0511
IQR,0.0492,0.0497,0.0538,0.0494,0.049,0.048,0.0514
Entropy,0.0,0.0,0.0941,0.0,0.0801,0.0627,0.0
Jitter,0.0474,0.0381,0.0675,0.0369,0.0575,0.0451,0.0519
Per_Sample_Accuracy,0.8169,0.8491,0.7893,0.8508,0.7841,0.8152,0.8201
Label_Stability,0.9398,0.9514,0.9146,0.9531,0.9269,0.9426,0.9345
