index,overall,SEX_RAC1P_priv,SEX_RAC1P_dis,SEX_priv,SEX_dis,RAC1P_priv,RAC1P_dis
General_Ensemble_Accuracy,0.823,0.8538,0.8004,0.8558,0.7914,0.8202,0.8284
Mean,0.5531,0.5006,0.5742,0.5225,0.5826,0.5439,0.5706
Std,0.0492,0.046,0.0568,0.0476,0.0507,0.0467,0.0539
IQR,0.0501,0.0475,0.0578,0.0488,0.0512,0.0476,0.0548
Entropy,0.0,0.0,0.0899,0.0,0.0761,0.0589,0.0
Jitter,0.0452,0.0352,0.0657,0.0347,0.0554,0.0424,0.0506
Per_Sample_Accuracy,0.8186,0.8499,0.7937,0.8518,0.7865,0.8163,0.823
Label_Stability,0.9422,0.9559,0.9139,0.9567,0.9282,0.946,0.9349
