Dataset_Name,Model_Name,F1_Score,Accuracy_Score,Model_Best_Params
Student_Performance_Por,LogisticRegression,0.8478,0.9342,"{'C': 0.1, 'penalty': 'l1', 'solver': 'saga'}"
Student_Performance_Por,RandomForestClassifier,0.8642,0.9383,"{'bootstrap': True, 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}"
