index,overall,sex_race_priv,sex_race_dis,sex_priv,sex_dis,race_priv,race_dis
General_Ensemble_Accuracy,0.6429924242424242,0.6548672566371682,0.6576576576576577,0.6476079346557759,0.6231155778894473,0.639344262295082,0.6454689984101749
Mean,0.5254108481880341,0.5885313071473108,0.5301162013463259,0.5169329105800516,0.5619213634143706,0.5913151430748383,0.4806713666035104
Std,0.022599839693693446,0.021209603554601626,0.02062255173688384,0.023062894343379988,0.02060567971991773,0.021080755565525695,0.023631078044611772
IQR,0.030189623472036325,0.02807879167577814,0.027884360997802945,0.030827835620713874,0.027441142007631016,0.027832162920026313,0.03178999812340084
Entropy,0.0,0.0,0.0,0.0,0.05922229942726235,0.0,0.07102125084994444
Jitter,0.0363939489112223,0.02876106194690522,0.03518176467924964,0.03708284714118992,0.033427186182167085,0.02926659056406084,0.041232394084892696
Per_Sample_Accuracy,0.6426089015151515,0.6527581120943953,0.6613063063063063,0.6470711785297549,0.623391959798995,0.6368501170960187,0.6465182829888712
Label_Stability,0.9542897727272728,0.9639823008849556,0.9570270270270269,0.9533255542590432,0.9584422110552764,0.9632084309133488,0.948235294117647
TPR,0.5811088295687885,0.43283582089552236,0.5777777777777777,0.6019184652278178,0.45714285714285713,0.4025157232704403,0.6676829268292683
TNR,0.6959578207381371,0.8,0.7121212121212122,0.6909090909090909,0.7131782945736435,0.7798507462686567,0.6212624584717608
PPV,0.6206140350877193,0.5858585858585859,0.5777777777777777,0.648578811369509,0.463768115942029,0.5203252032520326,0.6576576576576577
FNR,0.4188911704312115,0.5671641791044776,0.4222222222222222,0.3980815347721823,0.5428571428571428,0.5974842767295597,0.3323170731707317
FPR,0.30404217926186294,0.2,0.2878787878787879,0.3090909090909091,0.2868217054263566,0.22014925373134328,0.3787375415282392
Accuracy,0.6429924242424242,0.6548672566371682,0.6576576576576577,0.6476079346557759,0.6231155778894473,0.639344262295082,0.6454689984101749
F1,0.6002120890774125,0.4978540772532189,0.5777777777777777,0.6243781094527363,0.460431654676259,0.45390070921985815,0.6626323751891074
Selection-Rate,0.4318181818181818,0.2920353982300885,0.40540540540540543,0.4515752625437573,0.34673366834170855,0.28805620608899296,0.5294117647058824
Positive-Rate,0.9363449691991786,0.7388059701492538,1.0,0.9280575539568345,0.9857142857142858,0.7735849056603774,1.0152439024390243
