Metric,overall,SEX_priv,SEX_dis,RAC1P_priv,RAC1P_dis,SEX&RAC1P_priv,SEX&RAC1P_dis,Model_Seed,Model_Name,Run_Number
General_Ensemble_Accuracy,0.80825,0.8415690269994905,0.7761413843888071,0.8089507333584054,0.8068605518269948,0.84597875569044,0.7830459770114943,101,DecisionTreeClassifier,Run_1
Mean,0.5485382222225865,0.5325939294256457,0.5639032918153186,0.5448327896900478,0.5558855340078369,0.5168689528199221,0.5476923814060694,101,DecisionTreeClassifier,Run_1
Std,0.04612371414676576,0.05055939760420051,0.04184916990182497,0.04627651934161081,0.045820724576972345,0.05245026261390763,0.04500997167500658,101,DecisionTreeClassifier,Run_1
IQR,0.04539736649481026,0.05055241820115588,0.0404295871626765,0.0458261426542838,0.0445471682785238,0.053452905557678315,0.044474547783981945,101,DecisionTreeClassifier,Run_1
Entropy,0.03284045556236623,0.0,0.04529704122325439,0.031036671495033488,0.0,0.0,0.0,101,DecisionTreeClassifier,Run_1
Jitter,0.021922222222222218,0.013652572592969942,0.02989145257186494,0.020659395762818097,0.024426215925097357,0.01215646602596527,0.031577266922094505,101,DecisionTreeClassifier,Run_1
Per_Sample_Accuracy,0.8079500000000001,0.8402445236882322,0.7768286696121748,0.8080481383978939,0.8077554064131246,0.8431714719271624,0.7831896551724138,101,DecisionTreeClassifier,Run_1
Label_Stability,0.9761,0.9845134997452878,0.967992145311733,0.9777359909740505,0.9728560775540641,0.98649468892261,0.9658045977011495,101,DecisionTreeClassifier,Run_1
TPR,0.8066329398538504,0.8068432671081678,0.8064146620847652,0.7996755879967559,0.8223443223443223,0.806060606060606,0.8333333333333334,101,DecisionTreeClassifier,Run_1
TNR,0.8095452498874381,0.8713339640491958,0.7534364261168385,0.8169705469845723,0.7962264150943397,0.8860182370820668,0.7449494949494949,101,DecisionTreeClassifier,Run_1
PPV,0.7723358449946178,0.8431372549019608,0.7103935418768921,0.7906976744186046,0.734860883797054,0.8764415156507414,0.7122507122507122,101,DecisionTreeClassifier,Run_1
