Dataset_Name,Model_Name,F1_Score,Accuracy_Score,Model_Best_Params
COMPAS,LogisticRegression,0.6760,0.6828,"{'max_iter': 50, 'penalty': 'l2', 'solver': 'newton-cg'}"
COMPAS,DecisionTreeClassifier,0.6677,0.6761,"{'criterion': 'entropy', 'max_depth': 5, 'max_features': 0.6}"
COMPAS,RandomForestClassifier,0.6856,0.6903,"{'max_depth': 4, 'max_features': 'auto', 'min_samples_leaf': 4, 'n_estimators': 20}"
COMPAS,XGBClassifier,0.6937,0.6998,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'objective': 'binary:logistic'}"
COMPAS,KNeighborsClassifier,0.6900,0.6960,"{'metric': 'minkowski', 'n_neighbors': 15, 'weights': 'uniform'}"
