index,overall,SEX_RAC1P_priv,SEX_RAC1P_dis,SEX_priv,SEX_dis,RAC1P_priv,RAC1P_dis
TPR,0.8540080856574335,0.8637229669948145,0.843533884611729,0.8726036479751309,0.8336805484388252,0.8477826035508499,0.8673917338077823
TNR,0.79820194875927,0.8499608210686072,0.7709508684539468,0.838741185790429,0.7633505241675269,0.8001490371207236,0.7947498047125399
PPV,0.77182107998705,0.8560676155831866,0.7324963192412857,0.8299232067106626,0.7154313012739079,0.7822718513665492,0.7509877439122723
FNR,0.1459919143425665,0.1362770330051854,0.15646611538827104,0.12739635202486915,0.16631945156117472,0.1522173964491501,0.13260826619221766
FPR,0.20179805124072994,0.1500391789313928,0.22904913154605322,0.16125881420957106,0.23664947583247298,0.19985096287927634,0.2052501952874601
Accuracy,0.8229636607010065,0.8570563270793021,0.801827403351236,0.8548801408381909,0.7925230097172834,0.8219701281630184,0.8249543686941834
F1,0.810811449433464,0.859806263477311,0.783894925007049,0.850682722942927,0.7697918691309633,0.8136910269955291,0.8049578842943262
Selection-Rate,0.4915472708343661,0.5122262638301078,0.49097417016826794,0.49823072558695314,0.4850821828725031,0.49702856997995726,0.4809847352538298
Positive-Rate,1.1065799513318189,1.0090907502603903,1.151953236384374,1.0515254554916442,1.1660720333482661,1.0838440269031469,1.1550807949378017
