index,overall,SEX_RAC1P_priv,SEX_RAC1P_dis,SEX_priv,SEX_dis,RAC1P_priv,RAC1P_dis
TPR,0.8399116293544415,0.8803603300347232,0.8190467307154183,0.8773735813314804,0.7992169789037599,0.8384965183915075,0.8429191041523285
TNR,0.7735209128898377,0.8022290288770826,0.7402134553342011,0.8002949767022784,0.7508339192450235,0.7769620587646908,0.7672769673982098
PPV,0.7513815744721356,0.8241113650678267,0.6995894269236218,0.8025533916422308,0.6982729825329104,0.7647903610258018,0.724501645294317
FNR,0.16008837064555842,0.11963966996527675,0.1809532692845816,0.12262641866851959,0.2007830210962401,0.16150348160849243,0.15708089584767143
FPR,0.2264790871101623,0.19777097112291736,0.2597865446657988,0.1997050232977215,0.24916608075497648,0.22303794123530918,0.23272303260179017
Accuracy,0.8033315155421149,0.842278240702973,0.7737391431700815,0.8373268709996737,0.771116731444199,0.805495342970467,0.7991039307276349
F1,0.7931829955386225,0.8512948432080827,0.7546150108865817,0.8382908674568215,0.7453423423498284,0.7999444887873369,0.779235178012925
Selection-Rate,0.5019086807793367,0.5478334751244072,0.49719669880977035,0.5253700759245643,0.47968218482513236,0.5084845858323492,0.4892398810395163
Positive-Rate,1.1178241504469058,1.0683071885380169,1.1707986025726909,1.0932408150699318,1.1445650044984435,1.096401554856571,1.1634812074634855
