Metric,overall,sex_priv,sex_dis,race_priv,race_dis,sex&race_priv,sex&race_dis,Model_Seed
General_Ensemble_Accuracy,0.7035984848484849,0.6701030927835051,0.7111368909512761,0.6776649746192893,0.7190332326283988,0.6428571428571429,0.7226148409893993,491
Mean,0.521465379068673,0.5673849402759896,0.5111308142493928,0.5823610345325747,0.4852223454542056,0.5935906263536139,0.4758240206003469,491
Std,0.07375456973583698,0.08000224350175143,0.07234848074443628,0.06852571122275004,0.07686660939468329,0.0812390085106162,0.07654890991869426,491
IQR,0.08080026168188767,0.08843973729001608,0.0790809365450235,0.07607631000180208,0.08361179787819238,0.08339548005087304,0.08191953746658268,491
Entropy,0.21979336315166054,0.23365622592110727,0.21667341491816555,0.18916758902386333,0.23802078763255494,0.20671893542840525,0.23409701281985917,491
Jitter,0.13962962962962938,0.1488982609601172,0.13754364995664076,0.12019125262780073,0.15119869388751417,0.12999381570809462,0.14831566548880967,491
Per_Sample_Accuracy,0.6814204545454545,0.6806701030927835,0.6815893271461717,0.6775888324873097,0.6837009063444109,0.6906122448979592,0.6859363957597173,491
Label_Stability,0.8076893939393939,0.7951546391752579,0.8105104408352669,0.8326395939086294,0.7928398791540786,0.826938775510204,0.7979505300353357,491
TPR,0.6793587174348698,0.5230769230769231,0.7027649769585254,0.5234899328859061,0.7457142857142857,0.43333333333333335,0.7619047619047619,491
TNR,0.725314183123878,0.7441860465116279,0.719626168224299,0.7714285714285715,0.6891025641025641,0.7352941176470589,0.6733067729083665,491
PPV,0.6890243902439024,0.5074626865671642,0.7176470588235294,0.582089552238806,0.729050279329609,0.41935483870967744,0.7453416149068323,491
FNR,0.32064128256513025,0.47692307692307695,0.29723502304147464,0.47651006711409394,0.2542857142857143,0.5666666666666667,0.23809523809523808,491
FPR,0.2746858168761221,0.2558139534883721,0.2803738317757009,0.22857142857142856,0.3108974358974359,0.2647058823529412,0.32669322709163345,491
Accuracy,0.7035984848484849,0.6701030927835051,0.7111368909512761,0.6776649746192893,0.7190332326283988,0.6428571428571429,0.7226148409893993,491
F1,0.6841574167507568,0.5151515151515151,0.710128055878929,0.5512367491166078,0.7372881355932204,0.4262295081967213,0.7535321821036107,491
Selection-Rate,0.4659090909090909,0.34536082474226804,0.49303944315545245,0.3401015228426396,0.540785498489426,0.3163265306122449,0.568904593639576,491
Positive-Rate,0.9859719438877755,1.0307692307692307,0.9792626728110599,0.8993288590604027,1.022857142857143,1.0333333333333334,1.0222222222222221,491
