Metric,overall,sex_priv,sex_dis,race_priv,race_dis,sex&race_priv,sex&race_dis,Model_Seed,Model_Name,Run_Number
General_Ensemble_Accuracy,0.6799242424242424,0.6884422110552764,0.6779463243873979,0.6721311475409836,0.685214626391097,0.6477272727272727,0.6776061776061776,101,DecisionTreeClassifier,Run_1
Mean,0.526445595178876,0.5623436324013175,0.5181098782509114,0.5915463225562674,0.4822516196778491,0.5905802985590934,0.46988600811333037,101,DecisionTreeClassifier,Run_1
Std,0.0722246012188981,0.07795630285933967,0.07089366933272787,0.07084765008913542,0.073159351826861,0.08793324536614004,0.07382635834422256,101,DecisionTreeClassifier,Run_1
IQR,0.09143036176239752,0.09725569490769585,0.09007768813822672,0.09269933374876835,0.09056891337101385,0.11233558873964489,0.09169786685873549,101,DecisionTreeClassifier,Run_1
Entropy,0.0,0.2004943311114728,0.0,0.0,0.1941565677059581,0.20122101772189238,0.1929219280992106,101,DecisionTreeClassifier,Run_1
Jitter,0.11774812519130685,0.13039033551596393,0.11481253609608279,0.1085813639912004,0.12397102985338318,0.12978420569329677,0.12249249249249332,101,DecisionTreeClassifier,Run_1
Per_Sample_Accuracy,0.6615056818181818,0.6834673366834171,0.6564060676779463,0.6591803278688525,0.6630842607313195,0.6461363636363636,0.6523745173745173,101,DecisionTreeClassifier,Run_1
Label_Stability,0.8348295454545455,0.8093467336683418,0.8407467911318552,0.8432318501170961,0.8291255961844197,0.8095454545454547,0.8333976833976834,101,DecisionTreeClassifier,Run_1
TPR,0.6180698151950719,0.5428571428571428,0.6306954436450839,0.4591194968553459,0.6951219512195121,0.44,0.7102473498233216,101,DecisionTreeClassifier,Run_1
TNR,0.7328646748681898,0.7674418604651163,0.7227272727272728,0.7985074626865671,0.6744186046511628,0.7301587301587301,0.6382978723404256,101,DecisionTreeClassifier,Run_1
PPV,0.6644591611479028,0.5588235294117647,0.6831168831168831,0.5748031496062992,0.6993865030674846,0.39285714285714285,0.7027972027972028,101,DecisionTreeClassifier,Run_1
FNR,0.38193018480492813,0.45714285714285713,0.36930455635491605,0.5408805031446541,0.3048780487804878,0.56,0.28975265017667845,101,DecisionTreeClassifier,Run_1
FPR,0.2671353251318102,0.23255813953488372,0.2772727272727273,0.20149253731343283,0.32558139534883723,0.2698412698412698,0.3617021276595745,101,DecisionTreeClassifier,Run_1
Accuracy,0.6799242424242424,0.6884422110552764,0.6779463243873979,0.6721311475409836,0.685214626391097,0.6477272727272727,0.6776061776061776,101,DecisionTreeClassifier,Run_1
F1,0.6404255319148936,0.5507246376811594,0.655860349127182,0.5104895104895105,0.6972477064220184,0.41509433962264153,0.7065026362038664,101,DecisionTreeClassifier,Run_1
Selection-Rate,0.4289772727272727,0.3417085427135678,0.4492415402567094,0.297423887587822,0.5182829888712241,0.3181818181818182,0.5521235521235521,101,DecisionTreeClassifier,Run_1
Positive-Rate,0.9301848049281314,0.9714285714285714,0.9232613908872902,0.7987421383647799,0.9939024390243902,1.12,1.010600706713781,101,DecisionTreeClassifier,Run_1
General_Ensemble_Accuracy,0.6732954545454546,0.68,0.6717289719626168,0.6674816625916871,0.6769706336939721,0.7011494252873564,0.6797752808988764,201,DecisionTreeClassifier,Run_2
Mean,0.522657568279787,0.5583877159776572,0.5143094029298172,0.5894249166547606,0.48045069735959495,0.6048731522783174,0.4715318768620601,201,DecisionTreeClassifier,Run_2
Std,0.0740940731676923,0.07830135448372298,0.07311106351441411,0.07092476221440483,0.0760975479434181,0.08329999708865345,0.07644558496134786,201,DecisionTreeClassifier,Run_2
IQR,0.08857792411447134,0.09244370543981548,0.08767470417864326,0.08601780535063289,0.09019629903627957,0.09726521976890683,0.09050625188839828,201,DecisionTreeClassifier,Run_2
Entropy,0.0,0.18599341126392757,0.0,0.0,0.0,0.0,0.0,201,DecisionTreeClassifier,Run_2
Jitter,0.1026624196510561,0.11192121212121221,0.1004991503823281,0.09335753624262233,0.10854448659703686,0.11269476372924626,0.10795596413574249,201,DecisionTreeClassifier,Run_2
Per_Sample_Accuracy,0.6662026515151515,0.6706,0.6651752336448596,0.6627139364303178,0.6684080370942813,0.6839080459770115,0.6701123595505617,201,DecisionTreeClassifier,Run_2
Label_Stability,0.8719886363636363,0.8565999999999999,0.8755841121495327,0.8821026894865527,0.8655950540958268,0.8505747126436781,0.8665168539325844,201,DecisionTreeClassifier,Run_2
TPR,0.6442105263157895,0.6103896103896104,0.6507537688442211,0.46938775510204084,0.7225609756097561,0.53125,0.7314487632508834,201,DecisionTreeClassifier,Run_2
TNR,0.6970740103270223,0.7235772357723578,0.6899563318777293,0.7786259541984732,0.6300940438871473,0.8,0.6215139442231076,201,DecisionTreeClassifier,Run_2
PPV,0.6348547717842323,0.5802469135802469,0.6458852867830424,0.5433070866141733,0.6676056338028169,0.6071428571428571,0.6854304635761589,201,DecisionTreeClassifier,Run_2
FNR,0.35578947368421054,0.38961038961038963,0.3492462311557789,0.5306122448979592,0.2774390243902439,0.46875,0.26855123674911663,201,DecisionTreeClassifier,Run_2
FPR,0.3029259896729776,0.2764227642276423,0.31004366812227074,0.22137404580152673,0.36990595611285265,0.2,0.3784860557768924,201,DecisionTreeClassifier,Run_2
Accuracy,0.6732954545454546,0.68,0.6717289719626168,0.6674816625916871,0.6769706336939721,0.7011494252873564,0.6797752808988764,201,DecisionTreeClassifier,Run_2
F1,0.6394984326018809,0.5949367088607594,0.6483103879849812,0.5036496350364964,0.6939970717423133,0.5666666666666667,0.7076923076923077,201,DecisionTreeClassifier,Run_2
Selection-Rate,0.4564393939393939,0.405,0.46845794392523366,0.3105134474327628,0.5486862442040186,0.3218390804597701,0.5655430711610487,201,DecisionTreeClassifier,Run_2
Positive-Rate,1.0147368421052632,1.051948051948052,1.0075376884422111,0.8639455782312925,1.0823170731707317,0.875,1.0671378091872792,201,DecisionTreeClassifier,Run_2
