Metric,overall,sex_race_priv,sex_race_dis,sex_priv,sex_dis,race_priv,race_dis,Model_Seed,Model_Name,Run_Number
General_Ensemble_Accuracy,0.6808712121212122,0.6363636363636364,0.6776061776061776,0.6884422110552764,0.6791131855309218,0.6721311475409836,0.6868044515103339,101,DecisionTreeClassifier,Run_1
Mean,0.5269026682294384,0.5870009137644169,0.4704967162044196,0.5603504479560957,0.5191359142439018,0.5921270724224901,0.48262473406340806,101,DecisionTreeClassifier,Run_1
Std,0.0707465894264696,0.0853307974575709,0.07258871908482334,0.07665188075835816,0.06937534908219209,0.06876540480975729,0.07209152715514393,101,DecisionTreeClassifier,Run_1
IQR,0.08737493053260754,0.1084414622616588,0.08802421119565504,0.0944696388186442,0.08572750118730849,0.08762242575456683,0.08720691708304219,101,DecisionTreeClassifier,Run_1
Entropy,0.0,0.20531417907833022,0.19535237869024916,0.20542353979725356,0.0,0.0,0.19714494248379882,101,DecisionTreeClassifier,Run_1
Jitter,0.11760349709213376,0.12994719926538184,0.12264186264186343,0.1303883051621744,0.11463479603502946,0.10807702315899063,0.12407059465883045,101,DecisionTreeClassifier,Run_1
Per_Sample_Accuracy,0.6614678030303031,0.6473863636363636,0.6518146718146718,0.6846733668341709,0.6560793465577596,0.6594613583138174,0.6628298887122416,101,DecisionTreeClassifier,Run_1
Label_Stability,0.8380492424242424,0.8224999999999999,0.8351351351351352,0.818391959798995,0.8426137689614938,0.8475409836065573,0.8316057233704292,101,DecisionTreeClassifier,Run_1
TPR,0.62217659137577,0.44,0.7102473498233216,0.5571428571428572,0.6330935251798561,0.46540880503144655,0.698170731707317,101,DecisionTreeClassifier,Run_1
TNR,0.7311072056239016,0.7142857142857143,0.6382978723404256,0.7596899224806202,0.7227272727272728,0.7947761194029851,0.6744186046511628,101,DecisionTreeClassifier,Run_1
PPV,0.6644736842105263,0.3793103448275862,0.7027972027972028,0.5571428571428572,0.6839378238341969,0.5736434108527132,0.7003058103975535,101,DecisionTreeClassifier,Run_1
FNR,0.37782340862423,0.56,0.28975265017667845,0.44285714285714284,0.3669064748201439,0.5345911949685535,0.3018292682926829,101,DecisionTreeClassifier,Run_1
FPR,0.2688927943760984,0.2857142857142857,0.3617021276595745,0.24031007751937986,0.2772727272727273,0.20522388059701493,0.32558139534883723,101,DecisionTreeClassifier,Run_1
Accuracy,0.6808712121212122,0.6363636363636364,0.6776061776061776,0.6884422110552764,0.6791131855309218,0.6721311475409836,0.6868044515103339,101,DecisionTreeClassifier,Run_1
F1,0.6426299045599152,0.4074074074074074,0.7065026362038664,0.5571428571428572,0.6575342465753424,0.5138888888888888,0.6992366412213741,101,DecisionTreeClassifier,Run_1
Selection-Rate,0.4318181818181818,0.32954545454545453,0.5521235521235521,0.35175879396984927,0.45040840140023336,0.30210772833723654,0.519872813990461,101,DecisionTreeClassifier,Run_1
Positive-Rate,0.9363449691991786,1.16,1.010600706713781,1.0,0.9256594724220624,0.8113207547169812,0.9969512195121951,101,DecisionTreeClassifier,Run_1
General_Ensemble_Accuracy,0.6761363636363636,0.7126436781609196,0.6816479400749064,0.695,0.6717289719626168,0.6674816625916871,0.6816074188562596,201,DecisionTreeClassifier,Run_2
Mean,0.5210058642834593,0.597596450118347,0.47034753465092843,0.5556078160055324,0.5129212961240965,0.586518183713758,0.4795923578738889,201,DecisionTreeClassifier,Run_2
Std,0.07032129983589781,0.08345915015901668,0.07159258720562235,0.07690640206101895,0.06878272454965455,0.06823598217735063,0.0716395300095389,201,DecisionTreeClassifier,Run_2
IQR,0.08956861799335844,0.10909374384800836,0.08813896389549841,0.09911884887522517,0.08733725563778211,0.09091843476900258,0.08871533350921862,201,DecisionTreeClassifier,Run_2
Entropy,0.0,0.0,0.0,0.19516529883592895,0.0,0.0,0.0,201,DecisionTreeClassifier,Run_2
Jitter,0.11349977043158878,0.13739695808661234,0.11585366776378311,0.12509494949494993,0.11079061644482192,0.10983971746808029,0.1158134669726636,201,DecisionTreeClassifier,Run_2
Per_Sample_Accuracy,0.6621212121212121,0.673103448275862,0.6629962546816479,0.6646000000000001,0.6615420560747665,0.6621026894865526,0.6621329211746522,201,DecisionTreeClassifier,Run_2
Label_Stability,0.844810606060606,0.800919540229885,0.8452434456928839,0.8203999999999999,0.8505140186915887,0.8468459657701711,0.8435239567233385,201,DecisionTreeClassifier,Run_2
TPR,0.6505263157894737,0.5625,0.734982332155477,0.6363636363636364,0.6532663316582915,0.47619047619047616,0.7286585365853658,201,DecisionTreeClassifier,Run_2
TNR,0.6970740103270223,0.8,0.6215139442231076,0.7317073170731707,0.6877729257641921,0.7748091603053435,0.6332288401253918,201,DecisionTreeClassifier,Run_2
PPV,0.6371134020618556,0.6206896551724138,0.6864686468646864,0.5975609756097561,0.6451612903225806,0.5426356589147286,0.6713483146067416,201,DecisionTreeClassifier,Run_2
FNR,0.3494736842105263,0.4375,0.26501766784452296,0.36363636363636365,0.34673366834170855,0.5238095238095238,0.27134146341463417,201,DecisionTreeClassifier,Run_2
FPR,0.3029259896729776,0.2,0.3784860557768924,0.2682926829268293,0.31222707423580787,0.22519083969465647,0.3667711598746082,201,DecisionTreeClassifier,Run_2
Accuracy,0.6761363636363636,0.7126436781609196,0.6816479400749064,0.695,0.6717289719626168,0.6674816625916871,0.6816074188562596,201,DecisionTreeClassifier,Run_2
F1,0.64375,0.5901639344262295,0.7098976109215017,0.6163522012578616,0.6491885143570537,0.5072463768115942,0.6988304093567251,201,DecisionTreeClassifier,Run_2
Selection-Rate,0.45928030303030304,0.3333333333333333,0.5674157303370787,0.41,0.47079439252336447,0.3154034229828851,0.5502318392581144,201,DecisionTreeClassifier,Run_2
Positive-Rate,1.0210526315789474,0.90625,1.0706713780918728,1.0649350649350648,1.0125628140703518,0.8775510204081632,1.0853658536585367,201,DecisionTreeClassifier,Run_2
