Metric,overall,sex_priv,sex_priv_correct,sex_priv_incorrect,sex_dis,sex_dis_correct,sex_dis_incorrect,race_priv,race_priv_correct,race_priv_incorrect,race_dis,race_dis_correct,race_dis_incorrect,sex&race_priv,sex&race_priv_correct,sex&race_priv_incorrect,sex&race_dis,sex&race_dis_correct,sex&race_dis_incorrect,Model_Seed,Model_Name,Model_Params,Run_Number
PPV,0.6894977168949772,0.6,1.0,0.0,0.7065217391304348,1.0,0.0,0.6111111111111112,1.0,0.0,0.7151515151515152,1.0,0.0,0.6363636363636364,1.0,0.0,0.7375886524822695,1.0,0.0,100,LogisticRegression,"{'C': 1, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 250, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 100, 'solver': 'newton-cg', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",Run_1
FNR,0.41923076923076924,0.475,0.0,1.0,0.4090909090909091,0.0,1.0,0.611764705882353,0.0,1.0,0.32571428571428573,0.0,1.0,0.6111111111111112,0.0,1.0,0.3202614379084967,0.0,1.0,100,LogisticRegression,"{'C': 1, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 250, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 100, 'solver': 'newton-cg', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",Run_1
FPR,0.2537313432835821,0.22950819672131148,0.0,1.0,0.2608695652173913,0.0,1.0,0.175,0.0,1.0,0.31756756756756754,0.0,1.0,0.13793103448275862,0.0,1.0,0.31896551724137934,0.0,1.0,100,LogisticRegression,"{'C': 1, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 250, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 100, 'solver': 'newton-cg', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",Run_1
Accuracy,0.6647727272727273,0.6732673267326733,1.0,0.0,0.6627634660421545,1.0,0.0,0.6439024390243903,1.0,0.0,0.6780185758513931,1.0,0.0,0.6808510638297872,1.0,0.0,0.6802973977695167,1.0,0.0,100,LogisticRegression,"{'C': 1, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 250, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 100, 'solver': 'newton-cg', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",Run_1
F1,0.6304801670146137,0.56,1.0,0.0,0.6435643564356436,1.0,0.0,0.4748201438848921,1.0,0.0,0.6941176470588235,1.0,0.0,0.4827586206896552,1.0,0.0,0.7074829931972789,1.0,0.0,100,LogisticRegression,"{'C': 1, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 250, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 100, 'solver': 'newton-cg', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",Run_1
Selection-Rate,0.4147727272727273,0.3465346534653465,0.3088235294117647,0.42424242424242425,0.4309133489461358,0.45936395759717313,0.375,0.2634146341463415,0.25,0.2876712328767123,0.5108359133126935,0.5388127853881278,0.4519230769230769,0.23404255319148937,0.21875,0.26666666666666666,0.5241635687732342,0.5683060109289617,0.43023255813953487,100,LogisticRegression,"{'C': 1, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 250, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 100, 'solver': 'newton-cg', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",Run_1
Positive-Rate,0.8423076923076923,0.875,1.0,0.7368421052631579,0.8363636363636363,1.0,0.6,0.6352941176470588,1.0,0.40384615384615385,0.9428571428571428,1.0,0.8245614035087719,0.6111111111111112,1.0,0.36363636363636365,0.9215686274509803,1.0,0.7551020408163265,100,LogisticRegression,"{'C': 1, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 250, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 100, 'solver': 'newton-cg', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",Run_1
Mean,0.534292957698637,0.5611920203820872,0.56903631205797,0.5450280254136014,0.5279304159397881,0.5191058243347735,0.5450927251302307,0.5891390644471466,0.5912222446100035,0.585207428646825,0.49948350914308143,0.49008579122503515,0.5184546032580161,0.5996176011159166,0.6020863600654528,0.5937983835920094,0.4938096901378163,0.4808448152863292,0.5204760804573523,200,LogisticRegression,"{'C': 1, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 250, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 200, 'solver': 'newton-cg', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",Run_2
Std,0.02265297260295435,0.021409999542791266,0.020425345208233248,0.023438984232183553,0.022946977940369973,0.023137170405472484,0.02257708638754992,0.021695657245807076,0.02180163878767509,0.02149563574425337,0.023260556653156177,0.023111971902567776,0.023560503439390715,0.02068169443476276,0.02033661072639017,0.021495106033069596,0.023504793619261628,0.02361530724179919,0.023277487191087763,200,LogisticRegression,"{'C': 1, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 250, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 200, 'solver': 'newton-cg', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",Run_2
IQR,0.02387508121739904,0.02136497736489303,0.02069343606073264,0.02274875944619323,0.024468806016235356,0.025565411524921318,0.022336097371756455,0.022109404224001223,0.022840839415493107,0.020728949073861615,0.024995712126521494,0.0257218852800072,0.023529792489578392,0.02066792856408614,0.020764954796611113,0.020439223873134422,0.025602769314216713,0.0267072766665188,0.023330998510049918,200,LogisticRegression,"{'C': 1, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 250, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 200, 'solver': 'newton-cg', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",Run_2
