Metric,overall,sex_priv,sex_priv_correct,sex_priv_incorrect,sex_dis,sex_dis_correct,sex_dis_incorrect,race_priv,race_priv_correct,race_priv_incorrect,race_dis,race_dis_correct,race_dis_incorrect,sex&race_priv,sex&race_priv_correct,sex&race_priv_incorrect,sex&race_dis,sex&race_dis_correct,sex&race_dis_incorrect,Model_Seed,Model_Name,Model_Params,Run_Number
PPV,0.7248908296943232,0.6666666666666666,1.0,0.0,0.7368421052631579,1.0,0.0,0.7068965517241379,1.0,0.0,0.7309941520467836,1.0,0.0,0.6875,1.0,0.0,0.7432432432432432,1.0,0.0,100,RandomForestClassifier,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 0.6, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': 100, 'verbose': 0, 'warm_start': False}",Run_1
FNR,0.36153846153846153,0.35,0.0,1.0,0.36363636363636365,0.0,1.0,0.5176470588235295,0.0,1.0,0.2857142857142857,0.0,1.0,0.3888888888888889,0.0,1.0,0.28104575163398693,0.0,1.0,100,RandomForestClassifier,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 0.6, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': 100, 'verbose': 0, 'warm_start': False}",Run_1
FPR,0.23507462686567165,0.21311475409836064,0.0,1.0,0.24154589371980675,0.0,1.0,0.14166666666666666,0.0,1.0,0.3108108108108108,0.0,1.0,0.1724137931034483,0.0,1.0,0.3275862068965517,0.0,1.0,100,RandomForestClassifier,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 0.6, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': 100, 'verbose': 0, 'warm_start': False}",Run_1
Accuracy,0.7026515151515151,0.7326732673267327,1.0,0.0,0.6955503512880562,1.0,0.0,0.7024390243902439,1.0,0.0,0.7027863777089783,1.0,0.0,0.7446808510638298,1.0,0.0,0.6988847583643123,1.0,0.0,100,RandomForestClassifier,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 0.6, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': 100, 'verbose': 0, 'warm_start': False}",Run_1
F1,0.6789366053169734,0.6582278481012658,1.0,0.0,0.6829268292682927,1.0,0.0,0.5734265734265734,1.0,0.0,0.7225433526011561,1.0,0.0,0.6470588235294118,1.0,0.0,0.7308970099667774,1.0,0.0,100,RandomForestClassifier,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 0.6, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': 100, 'verbose': 0, 'warm_start': False}",Run_1
Selection-Rate,0.4337121212121212,0.38613861386138615,0.35135135135135137,0.48148148148148145,0.4449648711943794,0.4713804713804714,0.38461538461538464,0.28292682926829266,0.2847222222222222,0.2786885245901639,0.5294117647058824,0.5506607929515418,0.4791666666666667,0.3404255319148936,0.3142857142857143,0.4166666666666667,0.550185873605948,0.5851063829787234,0.4691358024691358,100,RandomForestClassifier,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 0.6, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': 100, 'verbose': 0, 'warm_start': False}",Run_1
Positive-Rate,0.8807692307692307,0.975,1.0,0.9285714285714286,0.8636363636363636,1.0,0.625,0.6823529411764706,1.0,0.38636363636363635,0.9771428571428571,1.0,0.92,0.8888888888888888,1.0,0.7142857142857143,0.9673202614379085,1.0,0.8837209302325582,100,RandomForestClassifier,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 0.6, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': 100, 'verbose': 0, 'warm_start': False}",Run_1
Mean,0.5322101846312605,0.5634533739176522,0.5779690245118638,0.5193257961112487,0.5248201094136362,0.519199341432746,0.538554727947586,0.6030991837215595,0.6126374355614569,0.5800484084418077,0.4872187146203897,0.4803872570966343,0.5051800748513868,0.5982405298601284,0.6183982267042843,0.550725958727475,0.4779931559856097,0.46540373706257676,0.5088210920663698,200,RandomForestClassifier,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 0.6, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': 200, 'verbose': 0, 'warm_start': False}",Run_2
Std,0.06581150321826618,0.0639826283947595,0.05955479971306769,0.07744322758710262,0.06624409421867407,0.0643949672000158,0.07076252556265353,0.06324711432152919,0.06234415749888496,0.06542925997625272,0.06743905654282062,0.06409374787375904,0.0762345872008027,0.06723368403919487,0.05897703854873539,0.08669577698099225,0.0687009403171097,0.06501578270353268,0.07772485190933037,200,RandomForestClassifier,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 0.6, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': 200, 'verbose': 0, 'warm_start': False}",Run_2
IQR,0.07282508965791464,0.07413932297903711,0.06688008879818487,0.09620739488882789,0.07251422884893721,0.07095702423643319,0.07631933366820104,0.07288794852357665,0.07235103685503266,0.07418548505589131,0.07278519471221585,0.06876908012103236,0.08334441734521515,0.08248254578148694,0.06941416634080147,0.11328658303453129,0.07397110008510357,0.06963217533458622,0.08459590299983191,200,RandomForestClassifier,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 0.6, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': 200, 'verbose': 0, 'warm_start': False}",Run_2
