Metric,Model_Name,Dataset_Name,Fairness_Intervention,Experiment_Iteration,Subgroup,Metric_Value
Equalized_Odds_FNR,MLPClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX,0.0453045056940089
Equalized_Odds_FPR,MLPClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX,-0.06585309046517605
IQR_Difference,MLPClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX,-0.018223335361310378
Jitter_Difference,MLPClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX,-0.019582942603793285
Label_Stability_Ratio,MLPClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX,1.0330790846080675
Label_Stability_Difference,MLPClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX,0.02734481260107302
Overall_Uncertainty_Difference,MLPClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX,-0.06287689438896094
Overall_Uncertainty_Ratio,MLPClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX,0.8821251759371405
Statistical_Parity_Difference,MLPClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX,-0.1354116649687609
Disparate_Impact,MLPClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX,0.6557479778752567
Std_Difference,MLPClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX,-0.013300283348816333
Std_Ratio,MLPClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX,0.8688094282793632
Equalized_Odds_TNR,MLPClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX,0.06585309046517607
Equalized_Odds_TPR,MLPClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX,-0.0453045056940089
Accuracy_Difference,RandomForestClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX,0.05503636842892656
Aleatoric_Uncertainty_Difference,RandomForestClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX,-0.028147504073793628
Aleatoric_Uncertainty_Ratio,RandomForestClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX,0.9575780442970626
Epistemic_Uncertainty_Difference,RandomForestClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX,-0.0008630819846198179
Epistemic_Uncertainty_Ratio,RandomForestClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX,0.9443317991525503
Equalized_Odds_FNR,RandomForestClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX,-0.007326941639534457
Equalized_Odds_FPR,RandomForestClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX,-0.031125514006682092
IQR_Difference,RandomForestClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX,-0.004071654777333691
Jitter_Difference,RandomForestClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX,-0.009095212757785909
Label_Stability_Ratio,RandomForestClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX,1.0144411878502266
Label_Stability_Difference,RandomForestClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX,0.012895796080330979
Overall_Uncertainty_Difference,RandomForestClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX,-0.029010586058413446
Overall_Uncertainty_Ratio,RandomForestClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX,0.9572755917766669
Statistical_Parity_Difference,RandomForestClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX,-0.0913107594981798
Disparate_Impact,RandomForestClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX,0.7299356508034168
Std_Difference,RandomForestClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX,-0.0029913094058282297
Std_Ratio,RandomForestClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX,0.9467208132426489
Equalized_Odds_TNR,RandomForestClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX,0.031125514006682065
Equalized_Odds_TPR,RandomForestClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX,0.007326941639534401
Accuracy_Difference,LGBMClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,RAC1P,0.030227290478794022
Aleatoric_Uncertainty_Difference,LGBMClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,RAC1P,-0.0421435587465161
Aleatoric_Uncertainty_Ratio,LGBMClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,RAC1P,0.933058113515312
Epistemic_Uncertainty_Difference,LGBMClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,RAC1P,-0.0018939841399429058
Epistemic_Uncertainty_Ratio,LGBMClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,RAC1P,0.8568161593682448
Equalized_Odds_FNR,LGBMClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,RAC1P,0.014776091783863798
Equalized_Odds_FPR,LGBMClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,RAC1P,-0.0126264471310953
IQR_Difference,LGBMClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,RAC1P,-0.007852338871969636
Jitter_Difference,LGBMClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,RAC1P,-0.01636829599536109
Label_Stability_Ratio,LGBMClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,RAC1P,1.0268003469880045
Label_Stability_Difference,LGBMClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,RAC1P,0.024224482494939914
Overall_Uncertainty_Difference,LGBMClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,RAC1P,-0.044037542886459
Overall_Uncertainty_Ratio,LGBMClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,RAC1P,0.9314891508071118
Statistical_Parity_Difference,LGBMClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,RAC1P,-0.07188515808891238
Disparate_Impact,LGBMClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,RAC1P,0.7817368416429759
Std_Difference,LGBMClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,RAC1P,-0.00568421946689384
Std_Ratio,LGBMClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,RAC1P,0.8870536526377321
Equalized_Odds_TNR,LGBMClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,RAC1P,0.012626447131095286
Equalized_Odds_TPR,LGBMClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,RAC1P,-0.014776091783863854
Accuracy_Difference,LogisticRegression,Folktables_GA_2018_Income,Baseline,Exp_iter_1,RAC1P,0.03213849377508937
Aleatoric_Uncertainty_Difference,LogisticRegression,Folktables_GA_2018_Income,Baseline,Exp_iter_1,RAC1P,-0.06091598605813253
Aleatoric_Uncertainty_Ratio,LogisticRegression,Folktables_GA_2018_Income,Baseline,Exp_iter_1,RAC1P,0.8958334662903326
